second,cLeaf,cStem,cFruit
19200,90490.646617,250211.974888,282669.893642
19500,90502.4806355,250218.585507,282723.440652
19800,90514.5938336,250225.415554,282777.712185
20100,90526.9182346,250232.411601,282832.531828
20400,90539.4334938,250239.557448,282887.849444
20700,90552.3338783,250247.005573,282944.171899
21000,90565.3101022,250254.513171,283000.688083
21300,90579.0223777,250262.597979,283059.084486
21600,90592.7346532,250270.682786,283117.480888
21900,90606.4469288,250278.767594,283175.87729
22200,90620.8411075,250287.386794,283235.938482
22500,90635.6259965,250296.312186,283296.953548
22800,90650.4108855,250305.237577,283357.968614
23100,90665.3959937,250314.319823,283419.430273
23400,90681.3052732,250324.126072,283482.95331
23700,90697.2145528,250333.932321,283546.476348
24000,90713.1238323,250343.73857,283609.999385
24300,90729.8456197,250354.18134,283675.070382
24600,90746.8827585,250364.871158,283740.742175
24900,90763.9198974,250375.560975,283806.413968
25200,90781.2404082,250386.472844,283872.483288
25500,90799.3561251,250398.007837,283939.668157
25800,90817.471842,250409.54283,284006.853026
26100,90835.5875589,250421.077823,284074.037894
26400,90854.529243,250433.260326,284141.690343
26700,90873.6709341,250445.599623,284209.456016
27000,90892.8126251,250457.938919,284277.221689
27300,90911.9543161,250470.278216,284344.987362
27600,90931.9753981,250483.307311,284412.007072
27900,90952.0269254,250496.360287,284479.000956
28200,90972.0784527,250509.413263,284545.994841
28500,90992.2183527,250522.535632,284612.675897
28800,91012.960192,250536.130662,284677.226173
29100,91033.7020313,250549.725692,284741.776449
29400,91054.4438706,250563.320722,284806.326724
29700,91075.3194222,250577.020983,284869.675599
30000,91096.5231352,250590.979507,284930.075954
30300,91117.7268482,250604.93803,284990.476308
30600,91138.9305612,250618.896554,285050.876663
30900,91160.2594685,250632.954067,285108.755428
31200,91181.740786,250647.132088,285163.564436
31500,91203.2221035,250661.310109,285218.373444
31800,91224.703421,250675.48813,285273.182451
32100,91246.2700021,250689.734154,285324.370796
32400,91267.8905343,250704.023207,285373.268148
32700,91289.5110665,250718.31226,285422.165499
33000,91311.168042,250732.630599,285468.311602
33300,91332.8550099,250746.97304,285512.193467
33600,91354.5458533,250761.318586,285555.434611
33900,91376.2602058,250775.682964,285594.78902
34200,91397.9745584,250790.047343,285634.14343
34500,91419.6948284,250804.416221,285671.298648
34800,91441.4267819,250818.793606,285705.922971
35100,91463.1699967,250833.178946,285738.799564
35400,91484.9260153,250847.573095,285769.796338
35700,91506.695439,250861.976288,285798.971606
36000,91528.4774171,250876.387879,285826.574116
36300,91550.2730647,250890.80858,285852.559829
36600,91572.082816,250905.238655,285876.956466
36900,91593.9054795,250919.677297,285899.9592
37200,91615.7457187,250934.127571,285921.179224
37500,91637.5909013,250948.581116,285941.907514
37800,91659.4584132,250963.049429,285960.553805
38100,91681.3313792,250977.521352,285978.720498
38400,91703.2231504,250992.00572,285995.26195
38700,91725.1243475,251006.496335,286011.040605
39000,91747.0385748,251020.995586,286025.764788
39300,91768.9670983,251035.504329,286039.408153
39600,91790.9031428,251050.018065,286052.482913
39900,91812.8596794,251064.545434,286064.117021
40200,91834.8187282,251079.074473,286075.574509
40500,91856.7973258,251093.616556,286085.77399
40800,91878.780276,251108.161542,286095.693372
41100,91900.7749183,251122.714351,286104.918624
41400,91922.7828701,251137.276155,286113.75687
41700,91944.7995336,251151.84411,286122.259701
42000,91966.8245601,251166.41804,286130.15879
42300,91988.8578318,251180.997856,286137.468598
42600,92010.8992062,251195.583451,286144.241334
42900,92032.9491911,251210.175196,286150.502134
43200,92055.0061552,251224.771941,286156.376598
43500,92077.071336,251239.374607,286161.836002
43800,92099.14437,251253.982922,286166.566573
44100,92121.2260501,251268.597178,286170.585073
44400,92143.3158272,251283.217054,286174.699113
44700,92165.413119,251297.842353,286178.800889
45000,92187.5161539,251312.471956,286182.864737
45300,92209.6254799,251327.106602,286186.87456
45600,92231.738443,251341.744449,286190.810155
45900,92253.8550644,251356.385767,286194.621871
46200,92275.9750395,251371.030675,286198.240848
46500,92298.0973489,251385.678485,286201.656045
46800,92320.2214277,251400.328816,286204.872561
47100,92342.3470854,251414.981636,286207.879743
47400,92364.4742337,251429.637085,286210.666565
47700,92386.6025213,251444.294792,286213.272792
48000,92408.7318073,251458.954764,286215.707127
48300,92430.8618755,251473.616902,286217.985101
48600,92452.99255,251488.282045,286220.060749
48900,92475.1235511,251502.949609,286221.977698
49200,92497.2543717,251517.61849,286223.811721
49500,92519.3848716,251532.289711,286225.498387
49800,92541.514929,251546.961801,286227.131909
50100,92563.6438271,251561.636171,286228.626159
50400,92585.7713043,251576.311455,286230.066018
50700,92607.8928128,251590.990577,286231.277379
51000,92630.0143214,251605.669698,286232.48874
51300,92652.1358299,251620.34882,286233.7001
51600,92674.2573384,251635.027942,286234.911461
51900,92696.3733056,251649.708469,286236.019767
52200,92718.4842481,251664.390271,286237.034628
52500,92740.5951906,251679.072073,286238.049489
52800,92762.7061332,251693.753875,286239.06435
53100,92784.8055662,251708.436551,286239.960124
53400,92806.9020363,251723.119454,286240.825241
53700,92828.9985064,251737.802356,286241.690358
