Amsterdam2022			
134	17.9	10.8	0
135	22.4	10.2	0
136	23.1	15.1	0.18
137	22.7	13.8	0.07
138	19.5	15.3	0.04
139	21.8	13.5	0.46
140	17.8	10.9	2.38
141	15.3	12	0.05
142	19.6	8.5	0
143	21.1	12.1	0.47
144	14.7	11.5	0.29
145	15.7	10.3	0.05
146	16.7	13.2	0.08
147	14.2	12.1	0.19
148	13.8	10.4	0.02
149	13	9.3	0.25
150	13.3	8.5	0.09
151	16.8	9	0.57
152	14.5	10.2	0.46
153	17	9.3	0
154	20.8	10.4	0.02
155	19.6	11.5	0.02
156	20.9	12.5	2.23
157	15.7	12.2	1.14
158	16.1	12.2	0.05
159	16.3	12.1	1.19
160	17.6	13.3	0
161	19.2	13.3	0.09
162	19.1	13.9	0
163	17.6	13.9	0
164	15.7	11.8	0.04
165	17.6	9.3	0.01
166	21.3	11.5	0
167	21.8	11.5	0
168	26.2	15.5	0.02
169	22.2	14.7	0.19
170	15.9	12.8	1.1
171	17.3	12.4	0
172	19.4	10.8	0
173	21.5	11.6	0
174	27.8	14	0
175	20.8	17.4	1.69
176	19.3	16	0.21
177	20.4	15.7	0.47
178	19.2	15.1	0.59
179	20.9	13.3	0
180	24.9	16.8	0
181	19.8	15.5	0.99
182	18	14.1	0.19
183	21.1	13.5	0
184	18.9	15	0.13
185	19.4	13.8	0.05
186	17.8	14.1	0.02
187	18.8	13.6	0.08
188	17.7	14.8	0.09
189	20.3	13	0
190	18.9	15.2	0.03
191	19.7	14.2	0
192	20.8	14.7	0
193	24.7	14.5	0
194	22.5	16.4	0.08
195	20.7	13.2	0
196	19	13.2	0
197	18.8	14.8	0
198	23.4	11.5	0
199	28.5	15.8	0
200	34	18.8	0
201	27.6	21.2	0.12
202	20.7	17	1.19
203	19.7	15.6	0.04
204	22.1	13	0
205	27.2	17.1	0
206	22.2	18.7	0.13
207	18.9	15.2	0.05
208	18.8	13.9	0.02
209	20.8	12.6	0
210	21.9	14.8	0.1
211	21.8	15.4	0
212	21.4	17.5	0.33
213	20.5	16.3	0.01
214	24.3	15.4	0
215	25.7	17.8	0
216	23.9	18	0
217	19.8	15.1	0.14
218	19.6	13.6	0
219	21	14.2	0
220	21.3	14.1	0.04
221	23.3	14.7	0
222	26.9	15	0
223	28.8	17.2	0
224	29.7	18.3	0
225	29.7	18.9	0
226	30.4	20.8	0
227	23.9	20.1	1.11
228	24	18.1	0.36
229	20.9	18.4	2.07
230	22.7	17.5	0
231	22.8	16.7	0.22
232	21.7	16.7	0.04
233	21.2	15.3	0.06
234	24	14.4	0
235	24.8	18.4	0.02
236	25.7	17.6	0
237	29	19.4	0.04
238	21	17.4	0.24
239	20.4	16.2	0.03
240	19.7	14.7	0
241	19.7	14.9	0
242	21.3	15.1	0
243	21.8	15.5	0
244	23.3	14	0
245	24.4	15.1	0
246	24.9	16.9	0
247	24.8	15.7	0
248	27.8	16.8	0.09
249	23.6	18	0.11
250	22.7	16.3	0.78
251	20.3	15.6	0.69
252	19.1	14.7	0.33
253	19.5	14.4	0.24
254	20.8	14.5	0.03
255	22.8	14.1	0
256	19.9	15.5	0.07
257	18.3	13.8	0.1
258	17	13.1	0.03
259	14.3	11.6	0.84
260	15.1	11.3	0.31
261	12.2	11.2	1.18
262	15.6	12.6	0.08
263	15.7	12.5	0.02
264	16.3	10.3	0
265	17.7	7.8	0
266	16.3	11.6	0.23
267	15.7	12.7	0.43
268	15	10.4	0.07
269	13.7	11.1	0.8
270	12.1	8.7	0.62
271	13.8	8.2	0.31
272	14.4	6	0
273	15.7	7.4	0.05
274	16	11.6	1.21
275	16.1	13	0.06
276	16.5	11.2	0.03
277	17.6	9.9	0
278	18.4	14.3	0.08
279	15.8	12.3	0
280	16.6	12.2	0.01
281	14.5	11.1	0.28
282	15.3	8.3	0
283	15.8	9.5	0.13
284	14.8	8.7	0.04
285	14.2	7.1	0
286	13.7	10	0.73
287	15.2	8.7	0.24
288	15.7	11.8	0.16
289	16.7	13	0.12
290	17.5	12.8	0.22
291	16.1	10.2	0
292	13.7	9.8	0
293	16.9	9.1	0.71
294	18.2	13.7	0.06
295	16.5	12.4	0.27
296	17.2	11.6	0.49
297	16.3	13.8	0.08
298	16	12.1	0.18
299	18.4	11.5	0.02
300	18.3	13.5	0.25
301	19.5	14.3	0
302	20.2	11.7	0.18
303	17.8	12.9	0.08
304	16.2	10.2	0
305	15.4	12.8	0.12
306	14.1	11.4	0.03
307	14.6	11	0.66
308	11.9	8.9	0.73
309	11.7	8.5	0.09
310	11.8	8.9	0.97
311	13.4	10.9	0.64
312	15.1	11.3	0.07
313	13	11.2	0.28
314	13.9	11.2	0
315	13.1	9.3	0
316	13.8	6.3	0
317	13	7.1	0
318	9.6	4.5	0
319	11.5	6	0.51
320	11.5	8.7	0.47
321	10.4	9.2	1.71
322	9.9	5.7	0.18
323	4.8	-0.9	0.11
324	3	-3.5	0.34
325	8.8	0.3	0.37
326	7.6	4.2	0.27
327	9.6	6.8	0.34
328	10.7	8.3	0.03
329	11.2	8	0.8
330	10	6.8	0
331	7.4	6.5	0.92
332	11	6.7	0.34
333	10.2	6.4	0
334	8.1	4.7	0
335	6.8	3.6	0
336	4.3	1.9	0
337	2.6	0	0
338	2.8	-0.6	0.01
339	6	3	0.12
340	7.4	4.4	0.08
341	6.2	4	0.08
342	5.4	0.9	0.42
343	1.1	-3.1	0
344	2.1	-0.3	0
345	1.5	0	0
346	0.8	-2.5	0
347	-0.4	-4.1	0
348	-0.2	-4.5	0
349	4.4	-2.6	0.04
350	3.1	-4.2	0
351	0.5	-3.9	0
352	1.2	-4.9	0.18
353	8.8	1.9	0.62
354	10.4	8	0.64
355	8.1	4.5	0.19
356	8.9	6.4	0.4
357	9.6	6.5	1.13
358	9.9	6.5	0.06
359	8.5	6.8	0.42
360	9.2	5.3	0.2
361	7.1	5	0.07
362	10.1	6.6	0.56
363	10.3	7.5	0.64
364	11.9	5.1	0.3
365	14.6	10.6	1.39
