Amsterdam2023				
74	8.4	0.9	0.12	13.65
75	12.3	4.2	0.14	8.19
76	15	7.3	0.03	8.91
77	14.8	7.1	0.2	12.25
78	12.1	7.1	0.15	6.8
79	9	6.2	0.61	2.44
80	12.4	8.5	0.23	5.5
81	11.2	8.7	0.62	2.79
82	14	9.2	0.66	14.15
83	12.3	8.5	0.24	14.37
84	11.1	5.8	0.49	12.62
85	8.8	2.8	0.02	6.83
86	7.1	2.7	0.05	16.1
87	7.2	-1.1	0.14	8.37
88	13.2	5.1	0.09	6.58
89	13.3	9.7	0.09	14.13
90	12.8	9.4	1.69	5.23
91	11.4	6.5	0.85	4.35
92	9.1	1.9	0.04	18.91
93	8.7	0.5	0	19.49
94	9.2	-1.5	0	18.86
95	10.9	-2.4	0	19.58
96	7.9	2.4	0.67	3.24
97	9.7	7.4	0.05	5.4
98	12.4	2.6	0	19.23
99	14	7.8	0.03	10.84
100	14.2	8.1	0.59	6
101	11.2	7.2	0.04	20.04
102	11.2	7.2	0.98	13.98
103	10.8	5.6	0.79	16.3
104	13.6	3	0.01	20.75
105	12.1	5.6	0.01	17.49
106	10.7	6.4	0.33	5.64
107	13.6	6.5	0.02	16.75
108	13.7	5.6	0.05	12.94
109	13	7.6	0	22.55
110	10.7	6.1	0.13	13.31
111	15.3	7.8	1.42	13
112	14.9	4.2	0.51	9.96
113	15.8	6.6	1.65	14.79
114	9.8	6	1.3	10.77
115	8.7	3.1	0.08	20.94
116	9.2	1.9	0.05	14.06
117	12.4	-0.6	0	18.6
118	14.4	6.7	0.14	9.21
119	15	6.3	0	19.69
120	15.9	4.3	0.07	21.85
121	16.1	6.5	0.04	18.24
122	11.8	7	0	16.88
123	12.2	3.6	0	21.51
124	19.6	6	0	22.29
125	16.8	10.8	0.41	16.07
126	18.9	9.2	0.3	18.69
127	20.7	11.6	1.95	15.07
128	18	11.2	0.05	15.76
129	14.5	11.2	1.6	3.97
130	14.7	10.8	0.12	13.92
131	16.6	10.6	0.69	13.52
132	20.2	10.4	0.21	20.41
133	20.1	10.7	0	25.96
134	18.9	9	0	21.45
135	15	6.3	0.12	15.43
136	12.9	6.6	0.05	21.41
137	13.5	6.4	0	24.72
138	13.3	4.3	0	20.42
139	17.3	6.8	0	25.17
140	18.2	10.3	0	21.5
141	19.8	12.1	0	22.21
142	22.9	12	2.62	22.43
143	14	7.9	0	20.98
144	15.6	5.2	0.04	17.79
145	15.7	7.6	0.01	22.02
146	15.9	8.4	0	27.1
147	18.6	7.8	0	28
148	19.4	10	0	25.55
149	15	9	0	23.13
150	14.3	9.2	0.03	12.25
151	20.2	9.7	0	28.15
152	15.7	10	0	17.57
153	17.4	9.8	0.05	17.77
154	19.5	10.3	0	28.93
155	20	10	0	28.87
156	18.6	9.6	0	28.69
157	18.7	9.4	0	28.57
158	19.8	9.9	0	27.87
159	21.5	10.7	0	27.94
160	26.9	12.2	0	27.35
161	26.9	16.9	0	27.68
162	28.8	17.6	0	26.5
163	28.3	17.7	0	28.47
164	25.5	16.4	0	29.59
165	23.8	15.2	0	29.26
166	25.4	14.9	0	26.54
167	24.4	13.3	0	28.71
168	25.3	11	0	28.15
169	24.1	17.7	0.04	14.27
170	22.9	17.2	0.06	23.07
171	28.2	18	0.19	21.28
172	22.1	15.9	0.01	28.22
173	24.2	14	0.18	15.05
174	23.2	14.5	0	28.43
175	25.2	14.7	0	28.01
176	29.6	16.7	0	28.75
177	22.9	14.8	0.02	26.8
178	19.2	13.8	0.01	14.9
179	21.2	14.5	0.23	14.33
180	20	13.4	0.14	12.45
181	21.4	11.1	0.09	20.77
182	19.7	16.2	0.94	9.89
183	18.1	14.5	0.04	26.1
184	18.1	14.2	0.25	20.69
185	18.8	13.3	0.09	23.97
186	16.4	12.3	3.75	10.99
187	19.4	11.7	0.13	26.07
188	26.3	13.1	0	29.02
189	31.1	16.8	0	26.7
190	28.5	17.4	0.45	20.01
191	22	15.8	0.01	27.63
192	24.4	16.1	0.24	23.58
193	19.8	15.6	0.39	23.93
194	19.6	15	0.3	24.37
195	22.7	13.6	0.02	16.32
196	25	17.5	0.12	21.45
197	20.7	16.1	0.08	25.23
198	18.9	15.1	0.76	23.14
199	21.3	14.2	0.03	21.66
200	20.1	14.3	0.43	23.11
201	20	11.6	0.03	25.43
202	18.1	12	0.17	19.81
203	18.5	13.2	0.63	10.08
204	21.1	14.6	0.41	16.39
205	19.9	12.1	0.5	18.94
206	17.3	11.1	0.06	23.16
207	18.4	11.6	0.31	22.76
208	18.8	14.2	1.5	5.74
209	21.5	16.8	0.28	18.04
210	21.3	16.5	0.17	21.8
211	19.1	16.2	0.56	19.55
212	20.2	15.9	1.84	9.13
213	18.6	14.9	0.46	16.61
214	20.8	14.1	1.4	16.11
215	19	12.8	0.84	12.32
216	18.9	12.8	0.46	21.05
217	18.2	12.3	0.4	10.89
218	16	13.4	0.76	8.04
219	17	13.5	0.51	20.57
220	17.5	13.4	0.32	18.11
