,co2Air,tAir,vpAir,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10,1606.3735702916665,19.232847956049998,1943.0523007841666,262091.571528,262149.964837,262222.282677,262295.803084,262369.398105,262442.94249,262516.430009,262589.870159,262663.237445,262741.141186,262847.545302,262991.202012,263145.97466,263302.082695,263459.125331,263616.737079,263774.520277,263932.245129,264063.950044,264023.865466,263950.171673,263870.02236,263787.35968,263703.439351
11,1664.2431904887499,19.24956591062917,1873.7383807341666,263666.736452,263722.927202,263793.343924,263865.124471,263937.100022,264009.168025,264081.402745,264153.746886,264226.251144,264305.546618,264420.065691,264566.855453,264720.130784,264874.72086,265031.052337,265188.042509,265345.177085,265502.696806,265612.91038,265560.964555,265484.960511,265403.471588,265319.728174,265234.85146
12,1628.28684557875,19.246272857570833,1967.6707169941667,265202.186367,265259.326396,265329.117743,265399.986063,265470.898299,265541.714034,265612.364723,265682.888413,265753.149319,265824.717606,265905.010348,266017.076957,266162.501989,266309.110436,266452.382846,266587.43736,266709.284026,266793.806082,266766.354257,266692.828881,266611.882754,266528.100859,266442.934518,266357.028426
13,1563.3767563830834,18.954755846879166,1896.64397312,266318.32733,266373.292179,266442.689663,266513.395196,266584.273548,266655.201733,266726.145286,266797.11315,266868.097826,266941.405656,267028.679737,267138.128947,267264.431289,267404.345441,267555.959902,267709.19227,267859.373756,267978.873276,267959.119752,267887.087478,267807.066704,267724.052781,267639.545689,267554.20489
14,1546.8899633667086,18.964228122904167,1911.2211633983334,267512.734939,267566.993298,267636.684744,267707.748466,267778.935475,267850.161828,267921.39878,267992.592801,268063.745177,268137.213354,268224.755251,268335.414857,268462.531647,268598.835004,268737.314471,268868.243569,268975.285461,269052.498735,269023.946029,268951.103265,268870.817215,268787.662315,268703.052446,268617.617639
15,1637.0609171766666,19.2948496210125,1878.89563953375,268575.778676,268629.774047,268699.356183,268770.381908,268841.6007,268912.904445,268984.273711,269055.6193,269126.873455,269203.73917,269313.835704,269462.490495,269615.797435,269770.277578,269925.875427,270081.999859,270238.129027,270394.014568,270549.934106,270705.393778,270809.378186,270754.109555,270676.511616,270593.575631
16,1568.7171159173333,19.029630911741666,1884.9425322195832,270564.477567,270620.564957,270688.635706,270757.720063,270826.885331,270896.042672,270965.186561,271034.310306,271103.52971,271176.053073,271267.848497,271399.34938,271548.802265,271701.704092,271855.025205,272008.395962,272161.621265,272313.493257,272351.187147,272283.649228,272203.704385,272119.83916,272034.188126,271947.567078
17,1640.7757666712498,19.015890479845833,1855.6012600366666,271905.288785,271958.171979,272026.372989,272095.954195,272165.778879,272235.698701,272305.68605,272375.720603,272445.828639,272518.35468,272605.799906,272715.632225,272848.197082,272996.969838,273147.785152,273298.95468,273450.118472,273599.428366,273628.937404,273560.472554,273480.368106,273396.496824,273310.880773,273224.324805
18,1561.6941283392082,19.260889245875,1932.8092825895835,273186.053089,273240.137849,273308.252632,273377.569186,273446.935995,273516.131153,273585.255697,273654.332937,273723.448889,273795.901728,273886.185622,274002.887093,274147.685338,274300.390347,274453.880732,274607.521169,274761.023092,274914.317058,275067.186864,275099.683431,275030.064234,274948.521108,274863.16102,274776.05422
19,1636.2606503520835,19.132440547158335,1854.4152806741668,274735.75492,274788.147261,274854.904098,274922.979322,274991.226325,275059.539093,275127.917362,275196.368381,275265.103109,275342.911013,275463.458832,275611.940167,275763.210567,275915.520245,276068.45617,276221.486605,276374.502389,276527.368642,276680.174479,276826.468392,276811.516763,276736.710269,276653.4634,276567.167674
20,1555.6264545348333,19.13467654165,1859.7216153841666,276533.134575,276586.824175,276653.354606,276720.986887,276788.319432,276855.592237,276922.984423,276990.479154,277058.349195,277130.110854,277236.02327,277383.959563,277535.452334,277687.677392,277840.086451,277992.506453,278144.778748,278296.857318,278449.073085,278536.291457,278475.048737,278394.391845,278308.711491,278220.87806
21,1569.0997834550833,19.1196483975375,1851.5440348979166,278180.428509,278231.855705,278297.59498,278364.772881,278432.01122,278499.180948,278566.541166,278633.814867,278701.298001,278774.797682,278878.51215,279009.672605,279145.911467,279286.1013,279427.609588,279564.94953,279682.657224,279765.373002,279735.738203,279659.278851,279575.266246,279488.371783,279399.930707,279310.672776
22,1590.080990757125,19.0021865664,1808.1723374425,279264.088965,279313.885146,279379.726001,279447.019124,279514.460106,279582.009218,279649.668662,279717.425033,279785.697702,279864.389166,279982.335803,280127.243446,280275.27002,280424.31813,280574.236483,280724.677359,280875.204957,281025.572234,281175.966373,281326.03387,281457.777498,281420.113748,281342.296373,281257.580559
23,1623.5492573329166,19.065388505070832,1820.8677025812501,281224.297261,281276.927814,281342.285795,281408.807493,281475.539555,281542.366944,281609.283346,281676.281494,281743.96841,281822.444482,281942.568127,282088.184227,282236.307553,282385.25171,282534.499168,282683.857678,282833.185988,282982.376897,283131.762941,283252.646562,283205.402595,283126.089351,283040.385505,282952.130953
24,1620.2668326970415,19.023457504637502,1908.8178790770835,282915.419189,282967.101928,283031.916284,283097.91453,283164.048441,283230.122513,283296.080018,283361.988896,283427.907176,283496.307015,283577.545197,283690.954276,283834.494664,283980.653786,284126.979285,284270.866199,284399.3876,284487.112251,284456.273578,284377.535454,284291.208078,284202.04057,284111.4532,284020.112471
25,1548.5125871090834,19.00617011616667,1860.6107329604167,283971.604814,284019.213306,284082.695499,284147.598002,284212.657083,284277.754669,284342.80932,284407.852694,284473.169789,284542.573412,284629.645214,284741.013543,284869.804801,285010.037725,285157.223243,285304.279625,285443.140836,285539.840749,285509.843024,285431.333674,285345.199262,285256.199831,285165.801384,285074.640508
26,1594.3868658433332,19.0471961710125,1894.3390270654165,285027.121356,285075.223773,285138.969282,285204.052085,285269.215223,285334.371893,285399.516564,285464.591962,285530.22785,285606.0659,285721.063945,285864.923916,286011.92471,286158.055583,286302.314701,286437.951887,286546.686612,286623.231515,286590.254462,286510.944703,286424.14313,286334.583879,286243.682362,286152.049612
27,1596.7705707833331,19.0557268132,1877.3246118341667,286104.700173,286152.674574,286215.939668,286280.462538,286345.105327,286409.770633,286474.460308,286539.152841,286604.07089,286677.575053,286776.396541,286897.074194,287040.606196,287187.40316,287334.878928,287482.816714,287630.924716,287778.947713,287926.906141,288023.634287,287963.771309,287881.193935,287793.164889,287702.839372
28,1620.1695320891668,18.978453892304167,1879.0801236820835,287661.894254,287711.31279,287774.275867,287838.489487,287902.834634,287967.217419,288031.644747,288096.14998,288161.793825,288237.876489,288344.844456,288481.166566,288626.111183,288771.874011,288917.937497,289063.94238,289208.120752,289336.317333,289321.486683,289243.608216,289156.935499,289067.080975,288975.671001,288883.390968
29,1739.8174490004167,19.692521101466667,1988.9825307545834,288837.830088,288886.043382,288948.910613,289013.046889,289077.269617,289141.427458,289205.49606,289269.521556,289334.229698,289410.067634,289523.569744,289665.824572,289814.264778,289964.452283,290115.991994,290268.378676,290421.002351,290573.473553,290725.794643,290877.579736,291026.623477,291031.926057,290951.878593,290861.890634
30,1585.1309442033335,19.133903033820832,1931.6999692425,290835.955461,290886.451897,290945.724959,291005.77352,291065.900467,291126.012279,291186.134659,291246.216351,291306.582897,291370.686835,291448.62672,291544.566389,291653.85857,291777.233446,291916.152898,292047.768401,292162.296846,292244.494835,292209.429589,292126.604029,292036.294381,291943.20115,291848.774927,291753.642627
31,1653.7561328508334,19.101938420841666,1935.7340916620833,291702.16652,291746.987229,291807.214015,291868.819127,291930.614142,291992.434198,292054.270485,292116.156052,292178.477824,292247.031237,292337.231933,292452.820518,292588.477158,292734.916863,292882.502499,293030.422791,293178.398312,293326.268222,293446.38627,293394.556429,293310.192401,293219.495859,293126.299005,293031.835231
